,sbd,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
0,02047165,8.8,,2.75,8.75,8.75,,,,,,,
1,02047166,7.2,7.0,6.0,8.0,5.0,,,,,,7.8,
2,02047167,7.6,6.0,7.0,8.0,5.0,,,,,,8.8,
3,02047168,7.6,5.25,6.75,7.75,5.5,,,,,,,
4,02047169,7.4,6.75,7.0,7.25,4.25,,,,,,7.6,
5,02047170,7.2,,6.75,,,,,,,,7.4,
6,02047171,5.6,5.25,,,,,5.25,,,,,
7,02047172,6.0,7.25,,,,,,,,,,
8,02047173,7.8,,,6.75,7.0,,,,,,,
9,02047174,,,,,,,,,,,,
10,02047175,8.0,5.25,6.5,8.25,4.75,,,,,,6.0,
11,02047176,6.2,6.0,6.75,7.0,3.75,,,,,,4.2,
12,02047177,7.4,7.0,4.5,5.25,4.0,,,,,,5.6,
13,02047178,7.0,6.25,6.0,8.5,5.5,,,,,,9.0,
14,02047179,6.8,6.0,3.75,4.0,3.75,,,,,,3.6,
15,02047180,6.2,,,,4.75,,,,,,,
16,02047181,7.0,4.25,,,,,5.75,,,,,
17,02047182,7.8,,,9.0,7.25,,,,,,9.0,
18,02047183,,,,,,,,,,,,
19,02047184,7.0,4.25,5.25,7.0,5.0,,,,,,,
20,02047185,7.8,,5.0,5.5,,,,,,,,
21,02047186,,4.75,,,,,8.5,5.75,,,,
22,02047187,7.4,4.5,5.75,5.25,5.0,,,,,,,
23,02047188,8.8,,,7.75,8.75,,,,,,8.0,
24,02047189,7.8,,8.75,8.75,,,,,,,,
25,02047190,,6.5,,,,,,,,,8.4,
26,02047191,6.2,4.75,,,,,7.0,,,,,
27,02047192,4.8,5.0,,,,,5.5,4.5,,,,
28,02047193,4.0,,,,,,5.0,,,,,
29,02047194,7.4,6.0,6.0,5.0,5.0,,,,,,8.2,
30,02047195,,5.0,,,,,5.0,6.0,,,,
31,02047196,7.8,5.5,,,,,8.0,7.75,,,9.2,
32,02047197,7.4,,,6.25,6.75,,,,,,,
33,02047198,6.4,5.5,4.5,4.75,6.0,,,,,,,
34,02047199,8.2,,8.5,,,,,,,,9.4,
35,02047200,4.8,3.75,,,,,5.75,6.5,,,,
36,02047201,7.4,6.25,6.75,7.25,3.75,,,,,,,
37,02047202,5.2,6.5,,,,,4.5,,,,,
38,02047203,,6.0,,,,,7.75,8.25,,,,
39,02047204,8.8,,8.0,8.75,,,,,,,,
40,02047205,8.8,,8.0,10.0,3.75,,,,,,,
41,02047206,8.0,,8.0,8.5,,,,,,,,
42,02047207,6.6,7.0,,,,,7.0,6.75,,,,
43,02047208,6.6,,,6.0,5.5,,,,,,,
44,02047209,,4.0,,,,,6.5,6.75,,,,
