,sbd,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
0,2047165,8.8,,2.75,8.75,8.75,,,,,,,
1,2047166,7.2,7,6,8,5,,,,,,7.8,
2,2047167,7.6,6,7,8,5,,,,,,8.8,
3,2047168,7.6,5.25,6.75,7.75,5.5,,,,,,,
4,2047169,7.4,6.75,7,7.25,4.25,,,,,,7.6,
5,2047170,,,,,,,,,,,,
6,2047171,,,,,,,,,,,,
7,2047172,,,,,,,,,,,,
8,2047173,7.8,,,6.75,7,,,,,,,
9,2047174,,,,,,,,,,,,
10,2047175,8,5.25,6.5,8.25,4.75,,,,,,6,
11,2047176,6.2,6,6.75,7,3.75,,,,,,4.2,
12,2047177,7.4,7,4.5,5.25,4,,,,,,5.6,
13,2047178,7,6.25,6,8.5,5.5,,,,,,9,
14,2047179,6.8,6,3.75,4,3.75,,,,,,3.6,
15,2047180,6.2,,,,4.75,,,,,,,
16,2047181,,,,,,,,,,,,
17,2047182,7.8,,,9,7.25,,,,,,9,
18,2047183,,,,,,,,,,,,
19,2047184,7,4.25,5.25,7,5,,,,,,,
20,2047185,,,,,,,,,,,,
21,2047186,,,,,,,,,,,,
22,2047187,7.4,4.5,5.75,5.25,5,,,,,,,
23,2047188,8.8,,,7.75,8.75,,,,,,8,
24,2047189,,,,,,,,,,,,
25,2047190,,,,,,,,,,,,
26,2047191,,,,,,,,,,,,
27,2047192,,,,,,,,,,,,
28,2047193,,,,,,,,,,,,
29,2047194,7.4,6,6,5,5,,,,,,8.2,
30,2047195,,,,,,,,,,,,
31,2047196,,,,,,,,,,,,
32,2047197,7.4,,,6.25,6.75,,,,,,,
33,2047198,6.4,5.5,4.5,4.75,6,,,,,,,
34,2047199,,,,,,,,,,,,
35,2047200,,,,,,,,,,,,
36,2047201,7.4,6.25,6.75,7.25,3.75,,,,,,,
37,2047202,,,,,,,,,,,,
38,2047203,,,,,,,,,,,,
39,2047204,,,,,,,,,,,,
40,2047205,8.8,,8,10,3.75,,,,,,,
41,2047206,,,,,,,,,,,,
42,2047207,,,,,,,,,,,,
43,2047208,6.6,,,6,5.5,,,,,,,
44,2047209,,,,,,,,,,,,
45,2047210,,,,,,,,,,,,
46,2047211,,,,,,,,,,,,
47,2047212,,,,,,,,,,,,
48,2047213,8.4,,5,9.5,7.75,,,,,,,
49,2047214,,,,,,,,,,,,
50,2047215,,,,,,,,,,,,
51,2047216,,,,,,,,,,,,
52,2047217,8.8,,,8.5,8.75,,,,,,,
53,2047218,,,,,,,,,,,,
54,2047219,,,,,,,,,,,,
55,2047220,5.4,4.5,4,3.75,4.25,,,,,,4.2,
56,2047221,,,,,,,,,,,,
57,2047222,7.4,,,7.5,6.75,,,,,,,
58,2047223,,,,,,,,,,,,
59,2047224,,,,,,,,,,,,
60,2047225,,,,,,,,,,,,
61,2047226,9,,,8.25,8.5,,,,,,,
62,2047227,,,,,,,,,,,,
63,2047228,6,4.75,4,6.25,4.25,,,,,,2.8,
64,2047229,,,,,,,,,,,,
65,2047230,,,,,,,,,,,,
66,2047231,,,,,,,,,,,,
67,2047232,,,,,,,,,,,,
68,2047233,8.4,5.25,8.25,8.25,7.5,,,,,,9.2,
69,2047234,6.8,5,6.5,3.75,3.5,,,,,,6.6,
70,2047235,,,,,,,,,,,,
71,2047236,,,,,,,,,,,,
72,2047237,,,,,,,,,,,,
73,2047238,,,,,,,,,,,,
74,2047239,,,,,,,,,,,,
75,2047240,,,,,,,,,,,,
76,2047241,,,,,,,,,,,,
77,2047242,,,,,,,,,,,,
78,2047243,,,,,,,,,,,,
79,2047244,,,,,,,,,,,,
80,2047245,8.2,5.5,7,7,5.25,,,,,,8,
81,2047246,,,,,,,,,,,,
82,2047247,,,,,,,,,,,,
83,2047248,7.4,6.5,6.75,6.75,4,,,,,,6.6,
84,2047249,,,,,,,,,,,,
85,2047250,,,,,,,,,,,,
86,2047251,,,,,,,,,,,,
87,2047252,,,,,,,,,,,,
88,2047253,,,,,,,,,,,,
89,2047254,,,,,,,,,,,,
90,2047255,,,,,,,,,,,,
91,2047256,,,,,,,,,,,,
92,2047257,,,,,,,,,,,,
93,2047258,,,,,,,,,,,,
94,2047259,7,4,7.25,4.75,4.5,,,,,,5.4,
95,2047260,7.2,,,8.25,8,,,,,,6.4,
96,2047261,,,,,,,,,,,,
97,2047262,,,,,,,,,,,,
98,2047263,,,,,,,,,,,,
99,2047264,,,,,,,,,,,,
100,2047265,7.2,5.25,5.75,4.25,5,,,,,,9,
101,2047266,7,6.5,7,4,5.75,,,,,,7.2,
102,2047267,,,,,,,,,,,,
103,2047268,8.4,,,8.5,8,,,,,,8.2,
104,2047269,7.8,,8,8.75,7.75,,,,,,6.8,
105,2047270,,,,,,,,,,,,
106,2047271,,,,,,,,,,,,
107,2047272,,,,,,,,,,,,
108,2047273,,,,,,,,,,,,
109,2047274,,,,,,,,,,,,
110,2047275,,,,,,,,,,,,
111,2047276,8.4,5.75,8,8.25,6.25,,,,,,7.4,
112,2047277,,,,,,,,,,,,
113,2047278,,,,,,,,,,,,
114,2047279,6.8,7,6.75,7.5,5.75,,,,,,6.8,
115,2047280,,,,,,,,,,,,
116,2047281,,,,,,,,,,,,
117,2047282,,,,,,,,,,,,
118,2047283,7.4,7.25,5,4.5,4.75,,,,,,7.4,
119,2047284,,,,,,,,,,,,
120,2047285,,,,,,,,,,,,
121,2047286,8.4,6.25,8.5,7,6.25,,,,,,8.4,
122,2047287,,,,,,,,,,,,
123,2047288,7.8,6.5,6,4.5,5.25,,,,,,7.4,
124,2047289,7.8,7,4.5,7.75,6.25,,,,,,8.6,
125,2047290,,,,,,,,,,,,
126,2047291,,,,,,,,,,,,
127,2047292,,,,,,,,,,,,
128,2047293,8.2,7,7.5,8.75,4.5,,,,,,6.8,
129,2047294,7.2,7.5,8,8,8,,,,,,7.8,
130,2047295,7.4,6.25,6.75,7,8,,,,,,7.8,
131,2047296,6.6,6.5,7.25,8.25,8,,,,,,6.2,
132,2047297,7.8,7.25,6.75,8.25,6.5,,,,,,,
133,2047298,8,7,6.5,6,4.75,,,,,,5.8,
134,2047299,7.6,7,6.5,8,6.5,,,,,,8.6,
135,2047300,6.6,6,5.75,6.5,3.25,,,,,,3.8,
136,2047301,8,6.25,6.25,7.5,4,,,,,,6.8,
137,2047302,7.8,6.75,5.25,5.75,3.75,,,,,,6.6,
